Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI25424	SABC_Koumassi	Boissons du Cameroun	Fourniture	1390000	1.6	3554288	1	Terminé	Closed	Demande d'offre pour matériel de câblage électrique projet désalcoolisation KOUMASSI	2025-08-21	Rosine Kati
PI25425	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	2500000	1	BCA02205	1	Terminé	Closed	FOURNITURE PIECES DE RECHANGE	2025-08-20	Leo SIKATI
PI25426	SABC_Ndokoti	Boissons du Cameroun	Fourniture	0	1	3587471	1	Terminé	Closed	Defaillance Spectrum Habillage  ligne16: Inspectrice hors service	2025-08-21	François Atangana
PI25427	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	0	1	Lost	0	Terminé	Closed		2025-08-22	
PI25428	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	0	1	Lost	0	Terminé	Closed		2025-08-22	
PI25429	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	0	1	Lost	0	Terminé	Closed		2025-08-22	
PI25430	SABC_Yaounde	Boissons du Cameroun	Fourniture	1236928	1.4	Lost	0	Terminé	Closed	 BESOIN URGENT DE 2 REGULATEURS DE 
PRESSION POUR FILTRES SIROPERIE UBG	2025-08-22	Alain Serge NOUNY NGASSAM 
PI25431	SABC_Yaounde	Boissons du Cameroun	Fourniture	1409408	1.5	Lost	0	Terminé	Closed	 BESOIN URGENT DE FIN DE COURSE POUR 
PALLETISEUR UBG	2025-08-22	Alain Serge NOUNY NGASSAM 
PI25432	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Terminé	Closed	FOURNITURE MATERIEL ATELIER PRESSE	2025-08-20	Leo SIKATI
PI25433	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	705000	1.5	Lost	0	Terminé	Closed	FOURNITURE FLEXIBLE PNEUMATIQUE 6x4mm	2025-08-25	
PI25434	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	4884192	1.8	Lost	0	Terminé	Closed	FOURNITURE DETECTEUR DE RUPTURE	2025-10-01	Leo SIKATI
PI25435	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Terminé	Closed	FOURNITURE ELECTRODE SAFER	2025-08-25	Leo SIKATI
PI25436	SABC_Koumassi	Boissons du Cameroun	Fourniture	207000	1.5	Lost	0	Terminé	Closed	Demande d'offre matériel supplémentaire projet desalcoolosation bière Koumassi	2025-08-27	Rosine Kati
PI25437	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	10623122	1.54	Lost	0	Terminé	Closed	SUPPLY & INSTALLATION OF ABB PANEL SWITCH HANDLES	2025-08-26	Saurelle Metiegoum
PI25438	SOCAVER	Societe Camerounaise des Verrieries	Fourniture	0	1	Lost	0	Terminé	Closed	SIRENE ELECTROMECANIQUE	2025-12-18	Philemon SANDJONG TCHAZOU 
PI25439	SABC_Ndokoti	Boissons du Cameroun	Fourniture	746550	1.5	Lost	0	Terminé	Closed	BESOIN OFFRE POUR REMPLACEMENT COFFRET EXTERNE LIGNE 15	2025-08-27	Cedric NGAKAM
PI25439A	SABC_Ndokoti	Boissons du Cameroun	Fourniture	1094250	1.5	Lost	0	Terminé	Closed	BESOIN OFFRE POUR REMPLACEMENT COFFRET EXTERNE LIGNE 15	2025-08-27	Cedric NGAKAM
PI25440	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Annulé	Closed	FOURNITURE THERMOHYGROMETRE	2025-08-27	Leo SIKATI
PI25441	SOCAVER	Societe Camerounaise des Verrieries	Fourniture	869120	1.4	Lost	0	Terminé	Closed	COMMANDE PR ELECTRIQUES POUR REAPPROVISIONNEMENT STOCK	2025-08-27	Philemon SANDJONG TCHAZOU 
PI25442	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	12339441	1.46	Lost	0	Terminé	Closed	Plan Poste Contrôle et Surveillance	2025-08-28	Christel TCHATO
PI25443	SABC_Ndokoti	Boissons du Cameroun	Fourniture	0	1	Lost	0	Annulé	Closed	FOURNITURE DISJONCTEUR ALIMENTATION NOUVELLE SOUTIREUSE L8	2025-08-28	Cedric NGAKAM
PI25444	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	8460000	1.5	Lost	0	Terminé	Closed	ALARM SOUNDER BEACON,230V,105DB	2025-08-28	Saurelle Metiegoum
PI25449	SEMC	SEMC	Fourniture_Pose	2548600	1	3552174	1	Terminé	Closed	Travaux  d'electrification Nouvelle Salle de reunion SEMC	2025-06-20	Voltaire Tchotchou
PI25413	SABC_Yaounde	Boissons du Cameroun	Fourniture	0	1	3554430	1	Terminé	Closed	MATERIELS POUR LA SUITE DES TRAVAUX  DE MISE LA TERRE DU GF CLAUGER YAOUNDE	2025-08-18	
PI25445	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	344264	1.4	Lost	0	Terminé	Closed	CAPTEUR DE NIVEAU A FLOTTEUR VERTICAL3I6	2025-09-01	Leo SIKATI
PI25446	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	1983000	2	Lost	0	Terminé	Closed	Balance et Dessicateur	2025-09-01	Leo SIKATI
PI25447	SABC_Garoua	Boissons du Cameroun	Fourniture	0	1	Lost	0	Terminé	Closed	PLAFONNIER POUR MPC GAROUA	2025-09-02	Rosine Kati
